"userId","num.actions","action_bucket","num.movies","num.tv","perc.movies","name.length","num.liked","num.comments","num.dislikes","perc.liked","recently.active","days.inactive","liked","num.dislikes","num.comments","disliked","commented"
"baberim",130,"power",80,50,0.615384615384615,7,101,0,29,0.776923076923077,"2009-12-02 00:12:46",1268,1,29,0,1,0
"SWF",8,"med",3,5,0.375,3,8,0,0,1,"2009-10-28 00:50:25",1303,1,0,0,0,0
"songguy",19,"med",18,1,0.947368421052632,7,19,0,0,1,"2009-11-14 03:05:29",1286,1,0,0,0,0
"cjmconnors",10,"med",10,0,1,10,10,0,0,1,"2009-10-28 02:01:39",1303,1,0,0,0,0
"Jessica_Blessing",9,"med",0,9,0,16,9,0,0,1,"2009-10-28 05:05:32",1303,1,0,0,0,0
"svensond",1,"low",1,0,1,8,1,0,0,1,"2009-10-28 10:42:14",1303,1,0,0,0,0
"gpingry",1,"low",1,0,1,7,1,0,0,1,"2009-10-28 16:35:04",1303,1,0,0,0,0
"bplants",68,"power",40,28,0.588235294117647,7,68,0,0,1,"2009-10-31 15:21:15",1300,1,0,0,0,0
"torloneg",3,"med",3,0,1,8,3,0,0,1,"2009-10-28 19:25:19",1303,1,0,0,0,0
"reayds",2,"med",2,0,1,6,2,0,0,1,"2009-10-28 19:57:42",1303,1,0,0,0,0
"sdavis",2,"med",1,1,0.5,6,2,0,0,1,"2009-10-28 21:57:21",1303,1,0,0,0,0
"rhops",1,"low",1,0,1,5,1,0,0,1,"2009-10-29 00:47:58",1302,1,0,0,0,0
"Thea",15,"med",15,0,1,4,15,0,0,1,"2009-10-29 03:52:11",1302,1,0,0,0,0
"liscueva",6,"med",1,5,0.166666666666667,8,6,0,0,1,"2009-10-29 05:05:04",1302,1,0,0,0,0
"Akilias",2,"med",2,0,1,7,2,0,0,1,"2009-10-29 14:55:37",1302,1,0,0,0,0
"ceaajagd",3,"med",0,3,0,8,3,0,0,1,"2009-11-05 01:08:51",1295,1,0,0,0,0
"chrisonline1991",23,"power",23,0,1,15,23,0,0,1,"2009-10-30 16:07:03",1301,1,0,0,0,0
"bixchtokes",3,"med",3,0,1,10,3,0,0,1,"2009-10-30 02:48:47",1301,1,0,0,0,0
"Clearshadows",3,"med",3,0,1,12,3,0,0,1,"2009-10-30 02:50:37",1301,1,0,0,0,0
"jaysd74",20,"med",19,1,0.95,7,16,0,4,0.8,"2009-10-30 03:19:03",1301,1,4,0,1,0
"Simpsons",6,"med",6,0,1,8,4,0,2,0.666666666666667,"2009-11-13 11:43:21",1287,1,2,0,1,0
"brotherspid",1,"low",0,1,0,11,1,0,0,1,"2009-10-30 06:04:37",1301,1,0,0,0,0
"GrahamYoung",469,"power",412,57,0.878464818763326,11,449,0,20,0.957356076759062,"2009-11-28 15:30:25",1272,1,20,0,1,0
"samanthada11",7,"med",7,0,1,12,7,0,0,1,"2009-10-30 15:47:37",1301,1,0,0,0,0
"israelcsus",6,"med",6,0,1,10,6,0,0,1,"2009-10-30 17:47:36",1301,1,0,0,0,0
"mjallday",18,"med",18,0,1,8,18,0,0,1,"2009-10-31 08:08:31",1300,1,0,0,0,0
"Levanticus",45,"power",33,12,0.733333333333333,10,39,0,6,0.866666666666667,"2009-11-08 22:58:18",1292,1,6,0,1,0
